sample_id,sample_labid,sample_sequenceid,duplicate_id,extraction_date,sample_tissuetype,sample_buffer,country,lateral_flow_test,dfat_result,diagnostic_result,test_centre,ngs_runid,ngs_rundate,ngs_location,ngs_platform,nanopore_platform,ngs_flowcell,ngs_prep,ngs_barcode,extraction_pass,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,consensus_coverage
M-65,RADDL4B-24-053,RADDL4B-24-053_1,RADDL4B-24-053_1,21 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run3,11 Sep 2024,Philippines,Nanopore,Minion,FAQ87517,Amplicon,barcode14,fail,9891,9771,365.0701475,204.6180183,344,0,949,11887,11497,11495,10902,11303
M-65,RADDL4B-24-053,RADDL4B-24-053_2,1,3 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode82,pass,7552,7182,340.1950218,395.2907831,232,0,2432,11893,11885,11671,9478,11596
M-66,RADDL4B-24-054,RADDL4B-24-054,RADDL4B-24-054,21 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r10_run1,6 Nov 2024,Philippines,Nanopore,Minion,FAZ05583,Amplicon,barcode07,fail,8557,7984,271.6980389,372.830639,137,0,2074,11659,10528,9177,6444,7925
M-66,RADDL4B-24-054,RADDL4B-24-054,RADDL4B-24-054,21 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run3,11 Sep 2024,Philippines,Nanopore,Minion,FAQ87517,Amplicon,barcode15,fail,1552,1541,49.13149514,70.94077438,11,0,386,9236,7278,5018,2883,4279
M-67,RADDL4B-24-055,RADDL4B-24-055_1,1,4 Oct 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run9,22 Oct 2024,Philippines,Nanopore,Minion,FAU43101,Amplicon,barcode31,pass,5659,5131,315.4706671,216.1646519,239,0,1097,11896,11882,11675,10957,11594
M-67,RADDL4B-24-055,RADDL4B-24-055_2,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode83,pass,20407,19390,844.2644988,709.3001817,618,0,4156,11893,11893,11886,11504,11798
M-68,RADDL4B-24-056,RADDL4B-24-056,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode84,pass,8592,8110,332.5940329,348.6540005,188,0,1969,11895,11893,11879,9776,11803
M-69,RADDL4B-24-057,RADDL4B-24-057_1,RADDL4B-24-057_1,21 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r10_run1,6 Nov 2024,Philippines,Nanopore,Minion,FAZ05583,Amplicon,barcode16,fail,210,168,6.85995642,11.97048513,3,0,65,9283,4244,1225,0,1091
M-69,RADDL4B-24-057,RADDL4B-24-057_1,RADDL4B-24-057_1,21 Aug 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2024_r9_run3,11 Sep 2024,Philippines,Nanopore,Minion,FAQ87517,Amplicon,barcode16,fail,532,523,16.71019108,29.45316989,0,0,158,5062,4449,2941,175,2672
M-69,RADDL4B-24-057,RADDL4B-24-057_2,1,10 Dec 2024,Brain,None,Philippines,,positive,positive,RADDL-4B,rabv_4b_2025_r9_run1,09 Jan 2025,Philippines,Nanopore,Minion,FAU48941,Amplicon,barcode85,pass,11101,10447,578.8861046,516.1939339,460,0,3417,11895,11893,11886,11505,11793
